"","maxIndexCL","minIndexCL","change","progrs","meanIndexCL","cat","maxIndexJL","minIndexJL","meanIndexJL","changeIndCL","progrsIndCL","catIndCL","meanFreedom","changeFreedom"
"Dominican Republic",72.2,61,11.2,4.90294117647059,64.2970588235294,"Partially Free",44.3,31.8,37.325,12.5,5.175,"Not Free",50.8110294117647,-15.9610294117647
"Ecuador",72,55.7,16.3,7.98235294117648,61.9176470588235,"Partially Free",45.9,29.4,37.08125,16.5,8.81875,"Partially Free",49.4994485294118,8.40055147058825
"Egypt",43.7,25.9,17.8,-6.00588235294118,32.6058823529412,"Partially Free",46.8,41.7,45.559375,5.09999999999999,-0.0593749999999957,"Partially Free",39.0826286764706,-3.03262867647061
"El Salvador",71.6,34.9,36.7,4.51176470588236,60.9882352941176,"Partially Free",54.4,38,46.609375,16.4,-0.509374999999999,"Partially Free",53.7988051470588,-43.9238051470588
"Equatorial Guinea",32.3,27.2,5.1,1.56470588235294,27.9352941176471,"Not Free",19.5,1.52,16.1728125,17.98,-5.5728125,"Not Free",22.0540533088235,60.2459466911764
"Eritrea",36,3.97,32.03,-5.34852941176471,16.8485294117647,"Not Free",16.1,1.52,9.213125,14.58,-0.963125,"Not Free",13.0308272058823,66.3191727941176
"Estonia",87.7,69.5,18.2,6.80882352941175,77.4911764705882,"Free",78.3,74.4,76.259375,3.89999999999999,-1.859375,"Free",76.8752757352941,-36.2752757352941
"Eswatini",37.3,32.6,4.7,2.95882352941177,32.5411764705882,"Not Free",43.6,34.8,38.865625,8.8,-0.0656250000000043,"Not Free",35.7034007352941,43.9965992647059
"Ethiopia",47,17.3,29.7,9.69411764705882,37.3058823529412,"Partially Free",35.5,22.9,33.365625,12.6,0.834375000000001,"Not Free",35.3357536764706,36.8142463235294
"Finland",91.1,80.6,10.5,-1.98823529411764,82.8882352941176,"Free",81.6,77.9,79.146875,3.69999999999999,-0.646874999999994,"Free",81.0175551470588,-34.2175551470588
"France",88.2,75.4,12.8,-4.6735294117647,80.0735294117647,"Free",74.4,67.5,71.5,6.90000000000001,-2.59999999999999,"Free",75.7867647058823,-1.23676470588234
"Gabon",67.4,51.6,15.8,2.81470588235295,56.8852941176471,"Partially Free",43.3,33.9,39.665625,9.4,-5.765625,"Not Free",48.2754595588235,11.5745404411765
"Gambia",66.5,33.9,32.6,24.1911764705882,42.0088235294118,"Partially Free",82,32.4,44.90625,49.6,37.09375,"Free",43.4575367647059,22.5424632352941
"Georgia",72.9,47.6,25.3,13.7,57.2,"Partially Free",50.5,39.6,44.3375,10.9,4.4625,"Partially Free",50.76875,-9.21875
"Germany",85.6,81.9,3.69999999999999,3.53235294117647,79.0676470588235,"Free",79.5,68,77.5125,11.5,-7.91250000000001,"Free",78.2900735294118,-4.19007352941176
"Ghana",80.5,41.8,38.7,2.07352941176471,66.3264705882353,"Free",65.4,47.1,61.553125,18.3,2.046875,"Partially Free",63.9397977941177,-13.4397977941177
"Greece",87.6,75.4,12.2,-2.35294117647059,78.8529411764706,"Free",70.1,63.3,67.66875,6.8,0.831249999999997,"Free",73.2608455882353,-53.2108455882353
"Guatemala",63.8,43,20.8,6.51470588235294,54.4852941176471,"Partially Free",57,44.1,47.865625,12.9,1.434375,"Partially Free",51.1754595588235,21.3245404411765
"Guinea",57.7,39.6,18.1,5.26470588235294,46.6352941176471,"Partially Free",31.2,26.8,29.69375,4.4,1.50625,"Not Free",38.1645220588236,16.9854779411764
"Guinea-Bissau",57.2,36.7,20.5,8.50882352941176,47.2911764705882,"Partially Free",48.5,27.5,42.609375,21,2.590625,"Partially Free",44.9502757352941,3.6497242647059
"Haiti",64.3,36.4,27.9,6.30882352941177,53.6911764705882,"Partially Free",39,22.3,31.965625,16.7,-2.065625,"Not Free",42.8284007352941,17.0715992647059
"Honduras",62.1,51.4,10.7,2.32647058823529,54.9735294117647,"Partially Free",45.9,37.3,43.13125,8.6,-3.23125,"Partially Free",49.0523897058823,-4.10238970588235
"Hungary",88.2,59,29.2,-13.7882352941176,73.2882352941176,"Free",70.4,57.1,65.878125,13.3,-8.778125,"Free",69.5831801470588,-11.2831801470588
"Iceland",86.1,76.6,9.5,-1.94705882352942,78.5470588235294,"Free",81.8,79.5,80.740625,2.3,-1.24062499999999,"Free",79.6438419117647,-23.4938419117647
"India",64.8,43.7,21.1,-11.8352941176471,55.5352941176471,"Partially Free",60.1,52.5,57.8,7.6,-5.3,"Partially Free",56.6676470588235,-8.56764705882355
"Indonesia",61.9,30.4,31.5,7.2,49.5,"Partially Free",61.5,9.65,42.521875,51.85,13.078125,"Partially Free",46.0109375,41.9890625
"Iran",38.6,26.7,11.9,-1.27058823529412,29.6705882352941,"Not Free",28.3,24.1,26.465625,4.2,0.334375000000001,"Not Free",28.0681066176471,-0.468106617647049
"Iraq",48.6,13.5,35.1,12.0735294117647,31.1264705882353,"Partially Free",49.5,40.8,43.521875,8.7,1.778125,"Partially Free",37.3241727941177,6.92582720588235
"Ireland",85.7,77.8,7.90000000000001,5.3264705882353,77.8735294117647,"Free",92.8,78.5,83.99375,14.3,8.80625000000001,"Free",80.9336397058823,-2.88363970588235
"Israel",63.7,58.3,5.40000000000001,2.97647058823529,57.9235294117647,"Partially Free",64.9,60.9,63.153125,4.00000000000001,-0.753125000000004,"Partially Free",60.5383272058824,1.11167279411764
"Italy",90.9,81.1,9.80000000000001,-0.667647058823533,81.7676470588235,"Free",67,63.5,65.009375,3.5,-1.50937500000001,"Partially Free",73.3885110294117,-1.08851102941175
"Jamaica",79.8,72.1,7.7,7.25294117647059,71.2470588235294,"Free",73.7,66.6,69.115625,7.10000000000001,-0.115624999999994,"Free",70.1813419117647,3.56865808823531
"Japan",81.4,74.2,7.2,-0.549999999999997,74.75,"Free",64.5,60.6,63.390625,3.9,-2.790625,"Partially Free",69.0703125,-19.5703125
"Jordan",49.1,43.7,5.4,4.80294117647059,43.8970588235294,"Partially Free",52.8,39.5,43.084375,13.3,7.215625,"Partially Free",43.4907169117647,23.9092830882353
"Kazakhstan",51.9,40.1,11.8,-1.07058823529412,43.3705882352941,"Partially Free",33.8,26.4,28.621875,7.4,-1.421875,"Not Free",35.996231617647,-1.24623161764705
"Kenya",59.7,36.6,23.1,4.51764705882353,49.9823529411765,"Partially Free",62,37.9,45.84375,24.1,12.65625,"Partially Free",47.9130514705883,8.58694852941175
