country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jordan,41,41,41,41,41,41,39.4,41.5,41.5,38.8,40.9,40.9,42.5,42.5,42.5,39.5,39.5,41,41,41.6,43.9,43.3,41,41,41,41,41,41,41,41,42.5,42.5,42.5,42,39.5,39.8,41.9,42.6,42.6,42.6,42.6,52.8,52.1,52.3,50.3
Japan,59.5,59.5,59.5,59.5,59.5,59.5,62.3,62.3,62.3,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,62.6,62.6,61.8,61.3,60.6
Kazakhstan,,,,,,,,,,,,,,,,,32,33.8,32.1,32.1,27.4,26.4,26.4,26.4,27.3,27.3,27.3,27.3,27.3,27.3,29.8,27.3,27.3,27.3,27.3,27.3,26.8,26.8,28.8,28.8,28.8,28.8,30.9,30.1,27.2
Kenya,33,33,33,31.1,31.1,29.8,31.9,31.9,31.9,31.5,32.5,31.6,32.5,31.6,31.6,39.2,39.2,37.9,37.9,37.9,38.2,39.5,39.5,38.8,38.8,41.3,41.3,40.4,40.4,40.6,39.4,39.4,39.4,40.1,40.1,57,57,58.4,57.2,57.2,57.2,58,62,55.3,58.5
Kyrgyz Republic,,,,,,,,,,,,,,,,,29.1,29.5,29,26.6,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,26.7,25.3,26.7,26.7,26.7,34.5,39.6,39.6,41.4,41.4,40.8,40.2,41.4,43,46.5
Cambodia,13.3,13.3,13.3,13.3,13.3,10,10,10,10,10,10,10,10,9.81,9.81,9.81,15.3,15.3,29.4,29,29,29,29,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,26.6,26.6,26.6,23,21,23.4,30.4
South Korea,30.8,30.8,30.8,30.8,30.8,33.8,31.1,35.2,35.2,33.4,34.8,34.8,45.2,59.5,60.9,60.9,60.9,62.1,65.2,65.2,65.2,65.2,67,68.2,68.2,68.2,68.2,71.9,70.8,71.2,71.2,71.2,70.2,64.4,64.4,62.3,62.3,61,56.2,57.4,62.5,61.6,73.1,70.2,74
Kuwait,55.6,55.6,55.6,55.6,55.6,55.6,56.7,56.7,56.7,56.1,56.4,56.4,56.4,56.4,56.4,54.9,55.9,55,55.3,55.3,55.7,56,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7,57.2,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.3,55.3,56.8,56.8,58.5,56.8
Lao,53.4,63.9,63.9,63.9,63.9,63.9,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,55.4,55.4,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,55.4,45.6,55.4,55.4,55.4,55.4,55.4,55.4,54.3,54.3,54.8,42.8,54.8,52.2,52
Lebanon,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,30.5,30.5,30.5,30.5,30.5,30.5,34.2,34.2,34.6,35.5,35.9,35.9,35.9,35.9,35.9,35.9,35.9,36.5,36.5,36.5,36.5,38,37.9,37.9,39.5,37.9,37.9,37.9,39.3,43.6,43.6,41.4,41.9,43,44.1,44.1
Liberia,34,34,34,34,34,30.8,30.1,31.8,31.8,29.8,31.5,31.5,29.8,31.5,31.5,30.6,48.2,48.2,48.1,48.2,48.2,35.7,29,29.3,29.3,30.4,30.4,30.4,30.4,49.4,53.5,52.6,52.6,52.6,52.6,46.7,47.9,47.9,46.7,46.7,46.7,46.7,54.7,50.3,50.3
Libya,29.4,29.4,29.4,29.4,29.4,29.4,28.1,28.1,28.1,26.7,26.7,27.5,27.5,28.4,28.4,28.4,28.4,30.6,30.6,30.6,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,35.2,38.5,45.8,47.2,42.7,41.3,41.1,39.1,37.8
Sri Lanka,57.9,57.9,57.9,55.1,55.1,55.1,56,56,54.8,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.5,55.1,55.1,55.4,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,53.5,53.5,52.4,52.4,46.5,46.5,46.5,48,48.5,62.2,70.6,66.3,68.4,68.4
Lesotho,58.2,58.2,58.2,58.2,58.2,58.2,59.5,57.6,59.5,59.5,59.5,57.6,57.6,57.6,57.6,57.6,57.6,56,54.2,54.2,54.2,55.2,55.2,55.6,55.2,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,59.9,59.9,59.9,57.9,60,54.4,58.7
Lithuania,,,,,,,,,,,,,,,,,61.9,68.3,71.3,74,74,74,74,74,73.8,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,81.6,81.6,81.6,84,84,84,84,84,80.4,80.4
Luxembourg,55.5,55.5,55.5,55.5,55.5,55.5,56.8,56.8,56.8,56.8,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,58.3,59
Latvia,,,,,,,,,,,,,,,,,63.4,64.1,62.6,62.6,62.6,71.6,71.6,71.6,71.4,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,75.9,74.3,74.3,78.4,78.4,78.4,79.9,76.9,82.8,80.9
Morocco,48.3,48.3,48.3,48.3,48.3,48.3,48.3,50.3,50.3,47.5,49.5,49.5,47.5,47.5,47.5,47.5,47.5,50.1,50.1,52.6,52.6,52.9,52.9,52.9,52.9,47.1,47.1,47.1,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,47.4,47.1,46.3,46.3,46.3,48.3,56,51.7,52.5
Moldova,,,,,,,,,,,,,,,,,64.3,63.3,63.3,56.2,52.6,53.8,53.8,53.8,53,53,55.3,55.3,55.3,55.3,55.3,54.1,55.3,54.1,51.1,58.5,58.5,58.5,63.6,63.6,60.6,54.7,60.5,56.3,54.1
Madagascar,36.7,32.5,32.5,32.5,32.5,32.5,35.3,35.3,38.2,38.2,39.2,39.2,39.2,39.2,39.2,38.2,37.3,48.2,47.4,47.8,46.8,46.8,44.2,42.9,42.9,42.9,42.9,43.3,35.4,35.4,32.8,32.8,32.8,32.8,29.8,29.8,29.8,29.8,35.6,36,36,36,34.9,37.9,38.2
Mexico,29.4,29.4,29.4,29.4,29.4,29.4,30.5,30.7,30.7,31.2,30.9,30.9,30.9,34.5,36.1,38.2,37.2,37.2,38.2,43.2,45.1,45.1,45.1,44.7,44.7,52.4,52.4,52.4,52.4,52.4,52.8,52.8,52.8,51.2,51.2,53.2,53.2,52.4,52.4,52.4,52.1,53.3,53.3,53.3,55.9
North Macedonia,,,,,,,,,,,,,,,,,59.3,59.3,60.2,60.2,60.2,60.2,60.2,60.2,60.2,56.6,53.7,53.7,53.7,53.7,49.8,46.8,46.4,46.4,42.7,39.9,39.9,37.5,29.5,23.8,23.8,22.8,43.6,40.2,43.1
Mali,46.5,46.5,46.5,46.5,46.5,46.5,45.5,45.5,45.5,45.1,45.1,45.1,46.1,45.1,45.1,46.1,52.7,54.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,52.5,52.5,53.5,52.5,52.5,52.5,52.5,52.5,42,42,42,43.8,42.5,41,45.2
Myanmar,12.1,12.1,12.1,12.1,12.1,14.9,16.2,16.2,14.7,16.1,14.6,16.1,16.1,14.6,14.6,16.1,14.6,14.6,15.2,15.2,15.2,15.2,15,15,15,15,15,15,15,15,15,15,15,15,15,22.5,29.4,31.6,34.5,34.5,38.9,46.4,46.4,48,45
Mongolia,23.2,23.2,23.2,23.2,23.2,23.2,22.8,22.8,22.8,22.8,22.8,22.2,22.2,22.2,22.2,46.8,49.4,48,47.5,53.6,53.6,56.3,56.3,56.3,56.3,55.1,55.1,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,52.1,52.1,50.8,51,53.6,55.2,54.6
Mozambique,31.1,31.1,31.1,31.1,31.1,31.1,30.4,32.1,32.1,30.4,32.3,32.3,30.5,32.3,30,43,47,47,45.8,46,46,46.3,46.3,46.3,46.3,50.6,50.6,49.8,50.6,51.5,50.9,49.9,49.9,49.9,49.9,50.6,50.6,50.6,48.8,48.8,49.5,48.8,48.8,48.8,45.3
Mauritania,41,41,41,35.5,28.1,28.1,27.3,29.4,29.4,27.3,29.4,29.4,27.3,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,27.3,32,35.3,32,32,32,32,32,32.9,32.9,32.9,32.9,29.2,35.8,33.7
Mauritius,61.2,61.2,61.2,61.2,61.2,61.2,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,60.3,60.3,60.3,60.3,62.3,62.3,62.3,63.4,63.4,63.4,63.4,63.4,61.8,61.8,61.8,61.8,61.8,62,62,62,58.9,54.4,56.5,56.5,64,60.9,59.9
Malawi,42.9,42.9,42.9,42.9,42.9,42.9,41.8,41.8,41.8,41.3,41.3,41.3,42.8,41.3,41.3,42.8,42,42,42,49.9,59,59.3,59.3,59.3,59.3,59.3,59,59,59,59,60.4,60.4,59.7,61.1,60.4,60.4,60.4,60.1,61,61,60.1,56.6,56.8,54.9,57.3
Malaysia,49.7,49.7,49.7,49.7,49.7,49.7,48.5,44.4,44.4,43.6,44.9,44.9,43.8,41.4,44.5,43.5,43.5,43.5,43.5,44.1,44.1,44.1,44.1,43.8,43.5,43.5,43.5,43.5,43.5,47.3,46.2,47.8,46.2,46.2,46.2,46.2,47.3,47.3,45.9,44.4,43.3,43.3,41,53.6,53.6
Namibia,,,,,,,,,,,,,,,,67.6,67.6,68,68.4,68.4,68.4,68.7,68.7,68.7,68.7,68.7,68.7,66,68.7,65.6,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,72.9,72.9,72.9,71.4,66.7,66,56.5
Niger,47.6,47.6,47.6,47.6,47.6,47.6,46.5,47.6,46.5,46.5,46.7,47.8,47.8,48.9,54.8,59.4,56.4,56.4,58.7,58.7,58.7,56.5,54.6,54.6,55.2,45.2,45.2,45.2,45.2,45.2,43.9,43.9,45.8,45.8,44.5,46.5,41.8,42.6,48.1,48.1,48.1,46.8,47.5,45.7,45.3
Nigeria,36.2,36.2,36.2,36.2,37.3,37.3,38.8,38.8,38.8,39.4,38.3,38.3,36.6,38.3,38.3,36.6,38.3,37.4,37.4,37.4,37.4,37.4,37.4,37.4,43.4,43.4,42.8,44.5,44.5,44.5,42.5,42.8,45.5,45.5,45.5,44.6,44.6,44.6,48.1,48.1,50.5,47.1,47.1,47.1,46.3
Nicaragua,16.4,16.4,16.4,16.4,16.4,32.5,31.7,33.3,33.3,31.1,33,31.4,31.4,33,33,40.2,38.6,40.2,40.7,39,39.4,38.8,36.8,36.8,36.8,37.4,37.1,37.1,37.1,37.1,37.1,27.6,22.7,17.8,17.8,17.5,17.5,17.5,14.5,14.5,14.5,14.5,11.9,8.95,3.06
Netherlands,78.7,78.7,78.7,78.7,78.7,78.7,78.9,78.9,78.9,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,81.7,81.7,83.8,83.8,83.8,83.8,86.6
Norway,98.4,98.4,98.4,98.4,98.4,98.4,98.5,98.5,98.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90.9,92.8
Nepal,40,40,40,40,40,40,37.6,38.9,38.9,37.6,38.9,38.9,37.6,38.9,38.9,50.4,60,61.8,60,60,58.9,60,60,60,60,61.3,60.2,58.2,58.2,58.2,55.2,55.2,60.2,58.3,58.3,57.4,59.8,59.8,54,53.1,59.1,58.2,59.1,59.1,56.8
New Zealand,70.9,73.9,73.9,73.9,73.9,72.6,73,73,73,73.7,73.7,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,83.6,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,87.4,87.4,87.4,87.4,85.9,85.9,85.9
Oman,19.9,19.9,21.6,21.6,21.6,23.2,24.3,24.3,24.7,24.3,23.6,23.2,23.2,23.6,23.9,27.2,27.2,27.2,27.2,27.2,27.4,29.7,29.7,28.1,29.7,37.3,36,37.3,38.9,38.9,37.5,38.9,38.9,38.9,39.8,39.8,38.9,38.9,38.9,38.9,38.9,37.5,36.6,37.5,35.1
Pakistan,36.9,36.9,35.8,38,38.3,38.3,38.9,38.9,38.9,38.4,38.4,38.4,38.8,38.8,39.7,39.4,39.4,39.4,41.3,40.4,40.9,40.9,39.2,37.7,40.2,39.6,39.6,39.6,39.6,39.6,40.9,40.9,41,45.5,47.4,47.4,47.4,47.4,49.7,51,47.5,46.3,47.5,44.4,41.3
Panama,41.3,41.3,41.3,41.3,41.3,41.3,41.8,41.8,43.2,41.2,41.2,41.2,41.2,41.2,39.3,51.3,47.5,47.5,47.5,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,45.7,45.1,46.2,46.2,45.1,45.1,46.2,46.2,43.5,43.5,43.5,42.3,45.7,45.7,48.5
Peru,21.2,21.2,21.2,22.3,22.3,29.6,56.5,56.5,57.6,56.5,52.9,52.1,52.1,52.1,50.6,43.2,42.2,31,17.5,18.1,20.4,20.8,20.8,20.4,20.4,27.2,60.6,60.6,60.6,62.9,60.1,56.9,54.1,54.1,54.1,56.3,56.3,57.7,59.7,59.7,59.7,59.7,60.7,60.7,61.5
Philippines,31.9,31.9,31.9,31.9,31.9,31.9,32.9,32.9,32.9,32.1,32.1,47,56.1,57.3,57.3,56.1,57.3,57.5,51.6,51.9,51.9,51.9,51.9,51.9,52.4,52.1,51.9,51.1,51.1,51.1,50.6,49.6,50.6,49.6,49.6,58.2,59,59,55.5,55.5,56.1,51.3,47.9,45.5,44.3
Papua New Guinea,65,65,65,65,65,65,65.7,65.7,65.7,65.6,65.6,65.6,65.3,65.6,65.6,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65.3,65,65,65,65,65,65,65,65,65,65,64.8,63.3,63.3,63.3,63.1,63.4,63.4,63.4,63.4,63.9
Poland,46,46,46,46.6,46.6,46.6,46.1,49,49,47.3,46,46,50.1,51.6,79.2,83.7,85.4,85.8,84.7,86.3,85.8,85.8,85.8,85.8,85.4,85.4,85.4,85.4,85.4,85.4,85.4,83.8,83.8,83.3,84.1,81.5,84.3,84.3,84.3,84.3,81.9,64,59,55.9,50.8
North Korea,1.72,1.72,1.72,1.72,1.72,1.72,5.65,1.52,1.52,5.65,3.06,3.06,5.79,1.93,5.79,5.79,5.79,5.79,1.93,3.06,3.47,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.47,3.47,3.47,3.47,3.47,3.47
Portugal,62.5,62.5,73.7,73.7,73.7,73.7,74.2,74.2,75.7,75.9,75.9,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.5,78.5,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,75.9,76.8,79.9,81.8,81.8,81.8,81.8,78.6,88.9,88.9,88.9
Paraguay,24.1,24.1,24.1,24.1,24.1,24.1,26.2,23.4,23.4,25.8,25.8,28.6,34.4,31.6,35.2,32,32,54.9,49.4,48.1,49.4,50.8,50.8,49.4,48,48,48,47.6,47.6,47.6,47.6,48.3,51.5,55.6,55.6,55.6,55.6,55.6,47.6,47.6,47.6,49.2,48.7,49.4,48.3
Qatar,43.9,43.9,43.9,43.9,43.9,43.9,44.1,42.9,44.1,44.1,44,44,44,44,44,44,44,44,44,44.5,44.7,46.6,46.6,46.6,46.6,46.6,46.6,46.4,47.8,47.8,47.8,47.2,47.2,47.2,47.2,47.2,47.2,47.2,44.7,44.7,44.7,42.8,39.9,40.7,38.2
Romania,18.8,18.8,18.8,18.8,18.8,18.8,21,21,18.4,20.8,18.2,18.2,18.2,20.8,20.8,34.3,38.7,43.2,42.4,42.6,42.6,43.8,43.8,43.8,43.5,44.3,44.3,45,45.7,48,51.9,51.9,58.1,58.1,58.1,58.1,58.1,56.2,68.7,74.8,75,68.7,55,44.6,44.9
Russia,11.4,11.4,11.4,11.4,11.4,11.4,11.2,11.2,11.2,11.2,11.2,11.2,16.8,16.8,17.3,17.3,32.7,40.9,40.9,38.3,38.3,39.7,38.9,38.1,38.1,32.4,26.3,26.3,26.7,26.7,26.7,26.7,26.7,24.6,24.6,23.4,23.4,23,19.7,19.7,22.1,19.7,22.7,22.7,22.7
Rwanda,56,56,56,56,56,56,55.4,57.5,57.5,55.4,53.8,53.8,55.4,55.4,55.4,55.4,56.8,56.8,55.6,42.6,34.6,34.6,34.6,34.6,36.4,35.2,35.2,35.2,36,36,36,34.5,36,36,36,36.4,36.4,36.4,37.6,37.6,37.6,37.6,33.1,33.5,33.1
Saudi Arabia,27.6,27.6,27.6,27.6,27.6,27.6,29.5,29.5,24.8,25.1,25.5,25.5,25.5,25.5,25.5,25.1,24,24.3,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.8,24.5,24.2,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,25.3,25.3,27.6
Sudan,40.4,40.4,40.4,40.4,40.4,40.4,38.6,38.2,38.2,36.3,42.9,42.9,42.9,42.9,22.5,7.35,7.35,8.8,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,27.2,27.2,27.9,27.9,25.7,25.7,17.7,17.7,21.9,21.9,21.9,23,28.2,28.9,35.4
Senegal,45,45,45,45,45,45,47.6,48.3,48.3,47.8,47.8,47.8,46.6,47.8,47.8,46.6,47.8,47.8,46.6,46.6,46.6,47,47,47,47,47,48.9,48.9,48.9,48.9,48.9,47.8,48.9,48.9,47.8,47.8,47.8,47.1,52.7,52.7,52.7,51,50,50.3,49.3
Singapore,48.9,45.2,45.2,45.2,45.2,45.2,45.6,45.6,45.6,49.4,50.3,50.3,46.9,46.9,46.9,46.9,46.9,46.9,46.9,43.8,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,46.9,46.9,50.3,47,43.8,43.8,43.8,43.8,47,47,47,47,47,47,49,48.9,47.2
Sierra Leone,35.9,35.9,35.9,36.8,36.8,36.8,38.2,38.2,38.2,37.3,37.7,37.3,37.3,37.3,37.3,37.3,29.3,28.5,28.5,28.5,28.5,37.4,28.4,34.7,35.2,36.2,36.9,46.9,46.9,46.9,43.2,43.2,43.2,39.4,39.4,39.4,39.4,39.4,35.8,35.8,35.8,33,35,34.3,37.9
El Salvador,38.5,38.5,38.5,38.5,39.3,39.3,38.5,38.5,39.7,38,39.2,39.2,38,39.2,39.2,38,38.4,39.2,41,42.2,42.2,42.2,42.2,44.5,44.5,46.1,46.1,45.8,47.2,47.2,47.2,45.6,45.4,47.5,48.1,50.1,50.1,51.6,53.8,53.6,53.6,53.6,54.4,51.6,46.1
Somalia,26.1,26.1,26.1,26.1,26.1,26.1,25.6,25.6,25.6,25.6,27.4,27.4,25.8,25.8,25.8,25.4,29.1,21.5,21.5,21.6,21.6,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,25.5,26,26,26,26,26,26,26,28.5,46,39.5,39.5,30.2,37.4,34.2,30.6
Serbia,39.3,39.3,39.3,39.3,39.3,39.3,39.9,39.9,39.9,39.4,39.4,39.4,39.4,37.5,39.4,36.8,37.9,36.6,36.6,36.9,37.5,37.7,37.7,37.5,37.2,44.5,47.2,47.5,47.5,47.5,46.3,46.3,48.6,47.5,47.5,45.5,46.6,46.6,43.1,43.1,42.3,39.9,40.4,43.9,41.6
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,33.5,30.8,29.7,28.9,29.3,29.9,17.8,30.1
Slovak Republic,,,,,,,,,,,,,,,,,,,60.2,55.9,55.9,55.6,55.6,65.6,65.6,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,64,63.2,63.2,63.2,62.6,62.6,62.6,61.2,61.2,63.7,62.9,62.9
Slovenia,,,,,,,,,,,,,,,,,65,73,73,73,73,73,73,72.5,72.8,70.6,70.6,70.1,71.9,71.9,67.7,67.7,67.7,66,70.3,70.6,71.7,69.8,70.1,73.9,75.6,75.6,73.5,72.1,72.1
Sweden,83.4,83.4,83.4,83.4,83.4,83.4,83.5,83.5,83.5,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,92.7,92.7,100,100,100,90.9,90.9,87.6,86.8,86.8
Eswatini,44,44,44,44,44,44,45.8,45.8,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,41.6,41.6,41.6,40.3,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,36.8,36.8,34.8,34.8,35.8,35.8,35.8,35.8,35.9,37.9,38.8
Syria,17.6,17.6,17.6,17.6,17.6,12.8,12.6,14.6,14.6,13.9,14.5,14.5,10.6,10.8,10.6,14.5,14.5,15,15.3,15.3,15.3,15.4,15.4,15.4,15.4,23.6,23.6,23.6,23.6,23.6,25.7,23.9,23.9,23.9,23.9,23.9,23.7,19.3,20.2,20.2,20.2,19.4,22.3,20.6,25.2
Chad,41.1,39.5,39.5,39.5,39.5,25.5,25.5,25.5,25.5,26.5,25.1,26.5,26.5,25.1,26.5,29.7,33.2,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,27.1,29.6,28.9,28.9,28.9,28.9,28.9,25.7,25.7,24.7,24.7,27.6,27.2,27.2
Togo,18.1,18.1,18.1,18.1,18.1,18.1,19.5,19.3,17.8,17.7,17.7,17.7,17.7,17.7,19.1,17.7,27.2,27.2,30.1,27.1,27.5,27.5,27.5,28.6,28.6,28.6,28.6,28.6,28.6,28.6,31.6,31.6,31.6,31.6,32.7,32.7,32.7,32.7,31.6,31.6,31.6,31.6,29.2,31.1,24.3
Thailand,52.8,52.8,52.8,52.8,52.8,55.3,54.9,54.9,56.3,54.7,56,56,54.7,54.7,55,55,56.3,56.3,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,54.4,54.4,54.4,55.7,58.6,59.7,58.7,54.9,58.6,61.3,61.3,52.9,49,49.2,48.5,49.9,49.9
Tajikistan,,,,,,,,,,,,,,,,,32,27.9,27.6,27.6,23.2,21.7,21.7,21.7,21.7,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,17.9,17.9,17.9,19.5,17.9,28.7,23.8
Turkmenistan,,,,,,,,,,,,,,,,,9.63,11.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,13.6,13.6,13.6,13.6,14.1,24.2,27.9
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1,58.6,58.6,58.6,57.2,57.2,56.1,56.1,56.1,55,55,55,53.8,50.1,51.6,49.2,48.8,48.8
Trinidad and Tobago,65.2,65.2,65.2,65.2,65.2,64.2,64.9,64.9,64.9,64.8,64.8,64.8,64.8,64.8,64.8,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.2,61.9,61.9,61.9,60.2,61.9,61.9,61.9,61.9,61.9,61.9,60.7,60.7,60.7,58.3,58.3,58.3,60.1
Tunisia,51.6,51.6,51.6,51.6,51.6,51.6,51.3,53.4,51.3,50.5,52.5,50.5,50.5,31.4,30.6,28.9,30.6,31.5,29.8,29.8,29.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,36,60,60.4,63.9,63.5,68.4,66.9,68.3,73,73
Turkey,55,55,55,55,55,57.2,36.1,38.2,40.1,62,62,61.1,57.9,57.9,57.5,57.5,57.5,56.4,56.4,56.4,56.4,57.9,64.3,61,60.6,60.6,61.4,66.7,65.7,65.7,68.3,68.3,67.8,67.8,69.6,59.1,58.2,59,55.1,51.6,51,43.8,26.9,34,34
Taiwan,26.7,26.7,27.6,27.6,28.8,31.7,32.5,32.5,32.5,33.1,33.1,33.1,33.1,41.3,42.2,45.3,48.4,48.4,47.3,47.3,47.3,47.3,47,47,47,60.7,60.7,60.7,60.7,60.7,62.5,61.1,61.1,61.1,54.8,53.5,53.5,55.4,58.6,58.6,58.6,63.4,63,62.4,63.5
Tanzania,54.9,54.9,54.9,54.9,54.9,54.9,54.6,54.6,54.6,54.4,55.5,54.4,54.4,54.4,54.7,53.8,53.8,53.8,53.8,52.2,52.2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,50,50,57.8,56.8,55.8,47.8,55.2
Uganda,15.6,15.6,15.6,15.6,15.6,19.6,22.7,22.7,22,18,23.9,30.2,41.3,41.3,39.7,37.6,39.7,39.7,40.7,41.2,43.5,44.2,44.2,44.2,44.2,44.6,45.8,45.8,45.8,45.8,48.7,49.7,49.9,49.9,48.6,48.6,49.9,49.3,48.7,49.3,50.3,48.9,49.8,49.6,47.2
Ukraine,,,,,,,,,,,,,,,,,41.1,38.6,37.3,38.6,38.6,38.3,41.3,40.8,40.8,37.7,39.5,40.8,40.1,44.9,37.2,38.8,39.4,37.9,37.9,32.1,32.1,32.1,33.9,30.3,31.5,32.2,33.8,35.1,39.3
Uruguay,38.7,38.7,36.9,36.9,36.9,36.9,37.5,37.5,37.5,37.5,53.6,51.2,60.6,60.6,60.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,64.9,67.6,67.6,64.9,69.3,69.3,61.8,68.4,71.6,72.9,72.9,71.4,71.4,70.1,68.7,70.1,70.3,70.3,70.3,70.3,70.1,72.7,72.7
United States,75.9,74.7,74.7,74.7,74.7,74.7,75.1,75.1,75.1,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,77.5,77.5,77.1,77.1,77.1,79,79,80,80.5,78.5,77.1,77.1,77.1,81.2,81.2,81.2,80.9,79.3,82.8,80.5
Uzbekistan,,,,,,,,,,,,,,,,,14.6,10.4,10.4,10.4,10.4,10.4,10.4,10.4,5.65,5.65,5.65,5.65,5.65,5.65,1.52,1.52,1.52,5.65,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,5.65,14.6,24.2
Venezuela,54.1,55.3,55.3,55.3,55.3,55.3,55,56.2,56.2,54.8,56.3,55.1,55.1,55.4,52.1,51.8,57.8,57.8,56.9,50.4,52.1,52.1,52.1,48.4,46.8,40.5,40.2,39.8,38.4,29.4,19.3,15.2,15.2,14.7,14.7,16.5,16.5,16.5,10.5,7.35,7.35,7.35,11.5,0,0
