country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bolivia,19.8,19.8,19.8,19.8,22.3,19.8,21.2,35,44.9,44.3,45.3,43.8,43.8,44.7,43.8,43.8,43.8,43.8,44,43.2,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43,43,40.6,41.7,40.6,38.7,35.9,35.9,35.9,38.7,38.7,37.3,37.3,37.3,37,31.8
Brazil,42.2,42.2,42.2,42.2,42.2,45.5,46.9,46.9,46.9,46.7,47.1,52.2,52.2,64.7,63.5,63.5,63.5,63.5,63.2,61.9,61.9,61.9,61.7,61.7,61.7,61.7,61.7,61.6,61.6,61.7,70.8,70.8,70.8,70.3,70.3,70.3,70.8,71.8,73.4,72.5,72.5,68.9,67.4,61.6,59.9
Barbados,78.9,78.9,78.9,78.9,78.9,78.9,79.2,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,80.4,80.4,82.7
Botswana,71.7,71.7,71.7,71.7,71.7,71.7,70.5,70.5,70.5,70.5,70.8,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,70.8,70.8,70.8,68.4,68.4,68.1,68.1,68.1,68.1,68.4,68.4,68.1,68.1,68.1,68.1,68.1,66.7,63.2,63.2,58.2,57,57.8,60.9,60.3
Central African Republic,25.1,22.5,19,19,21.1,32.2,33.3,33.3,33.3,33.3,34.3,34.3,33.3,34.3,34.3,33.3,33.3,31.3,35.8,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,36.4,36.4,34.6,34.6,34.6,34.6,34.6,35.1,34.6,34.6,33.7,35.6,35.6,35.6,37.7,39.9,40
Canada,80.2,80.2,80.2,80.2,80.2,80.2,80.4,80.4,80.4,81,81,81,81,81,73.5,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,78,78,80.4,79.8,76,76,76,77.1,77.1,74.8,74.8,73.4,73.1,76.1
Switzerland,98.4,98.4,98.4,98.4,98.4,98.4,98.5,98.5,98.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Chile,38.9,38.9,38.9,38.9,38.9,40.9,41.3,41.3,41.3,41.6,41.9,40.5,41.9,40.5,37.3,64.8,76.9,76.9,76.9,76.6,77.4,77.4,77.4,77.4,77.4,79,79,79,79,79,79,79,80.6,79,78.2,79.9,79.9,79.9,91.2,91.2,87.5,87.5,87.5,68.7,75.3
China,25.5,25.5,25.5,25.5,25.4,25.4,26.4,26.4,26.4,26.2,26.6,24.4,24.4,23.1,23.1,24.4,23.1,23.3,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.3,23.3,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.3,24.3,23.1,23.1,22.5,22.5,23.1,21.8,21.8
Cote d'Ivoire,49.4,49.4,49.4,49.4,49.4,49.4,50.6,50.6,49.4,50.4,50.8,50.8,49.5,50.8,50.8,47.7,48,48.8,48.1,48.1,46.7,49.5,49.5,50.3,52.3,49.5,49.1,51.1,51.1,51.1,49.5,49.5,49.5,49.5,48,48,49.5,49.5,41.9,41.9,41.9,41.9,41.7,47.2,45.2
